feature_id,reflection,bin_key,center_row,center_col,detector_x,detector_y,peak_intensity,mean_snr,n_bins,spatial_extent,reason
1,(112),0_0,0,0,46,218,6.9,4.7,1,0_0,isolated: single-bin detection
2,(002),0_3,0,3,462,13,13.0,8.8,1,0_3,isolated: single-bin detection
3,(002),0_3,0,3,479,22,7.0,4.7,1,0_3,isolated: single-bin detection
4,(002),0_3,0,3,290,385,6.0,4.7,1,0_3,isolated: single-bin detection
5,(002),0_3,0,3,240,597,7.0,4.7,1,0_3,isolated: single-bin detection
6,(002),0_5,0,5,210,1008,11.0,7.4,1,0_5,isolated: single-bin detection
7,(002),0_5,0,5,488,21,9.0,6.1,1,0_5,isolated: single-bin detection
8,(002),0_5,0,5,212,985,8.0,5.4,1,0_5,isolated: single-bin detection
9,(111),0_5,0,5,411,413,6.0,4.7,1,0_5,isolated: single-bin detection
10,(111),0_6,0,6,367,673,8.0,6.1,1,0_6,isolated: single-bin detection
11,(111),0_6,0,6,357,1024,7.0,5.4,1,0_6,isolated: single-bin detection
12,(111),0_6,0,6,682,59,6.0,4.7,1,0_6,isolated: single-bin detection
13,(111),0_6,0,6,458,412,6.0,4.7,1,0_6,isolated: single-bin detection
14,(111),0_6,0,6,448,448,6.0,4.7,1,0_6,isolated: single-bin detection
15,ITO,0_8,0,8,196,249,12.0,8.1,1,0_8,isolated: single-bin detection
16,(111),0_8,0,8,370,982,6.0,4.7,1,0_8,isolated: single-bin detection
17,(111),0_9,0,9,388,625,7.0,5.4,1,0_9,isolated: single-bin detection
18,(002),0_9,0,9,187,842,6.0,4.0,1,0_9,isolated: single-bin detection
19,(002),0_10,0,10,203,955,7.0,4.7,1,0_10,isolated: single-bin detection
20,(111),0_11,0,11,451,338,6.0,4.7,1,0_11,isolated: single-bin detection
21,(111),0_11,0,11,395,551,6.0,4.7,1,0_11,isolated: single-bin detection
22,(111),0_11,0,11,367,600,5.0,4.0,1,0_11,isolated: single-bin detection
23,(111),0_11,0,11,356,1029,11.2,4.0,1,0_11,isolated: single-bin detection
24,(002),0_12,0,12,477,36,12.0,8.1,1,0_12,isolated: single-bin detection
25,(001),0_12,0,12,874,506,8.0,5.4,1,0_12,isolated: single-bin detection
26,(002),0_12,0,12,259,374,6.0,4.0,1,0_12,isolated: single-bin detection
27,(011),0_15,0,15,643,384,8.0,5.4,1,0_15,isolated: single-bin detection
28,(002),0_16,0,16,230,862,7.0,4.7,1,0_16,isolated: single-bin detection
29,ITO,0_17,0,17,165,482,8.0,5.4,1,0_17,isolated: single-bin detection
30,(002),0_18,0,18,437,67,7.0,4.7,1,0_18,isolated: single-bin detection
31,ITO,0_20,0,20,120,874,10.0,6.7,1,0_20,isolated: single-bin detection
32,ITO,0_20,0,20,175,510,6.0,4.0,1,0_20,isolated: single-bin detection
33,ITO,0_24,0,24,155,582,7.0,4.7,1,0_24,isolated: single-bin detection
34,ITO,0_25,0,25,104,636,9.0,6.1,1,0_25,isolated: single-bin detection
35,(111),0_25,0,25,379,734,6.0,4.7,1,0_25,isolated: single-bin detection
36,ITO,0_25,0,25,130,718,7.0,4.7,1,0_25,isolated: single-bin detection
37,(002),0_27,0,27,304,340,9.0,6.1,1,0_27,isolated: single-bin detection
38,(111),0_28,0,28,350,641,7.0,5.4,1,0_28,isolated: single-bin detection
39,(111),0_28,0,28,333,816,7.0,5.4,1,0_28,isolated: single-bin detection
40,(002),0_28,0,28,201,1013,7.0,4.7,1,0_28,isolated: single-bin detection
41,(001),0_31,0,31,964,398,12.0,8.1,1,0_31,isolated: single-bin detection
42,(111),0_32,0,32,346,822,7.0,5.4,1,0_32,isolated: single-bin detection
43,(111),0_32,0,32,378,927,7.0,4.0,1,0_32,isolated: single-bin detection
44,ITO,0_33,0,33,102,635,9.0,6.1,1,0_33,isolated: single-bin detection
45,(002),0_33,0,33,207,914,8.0,5.4,1,0_33,isolated: single-bin detection
46,(002),0_33,0,33,357,149,7.0,4.7,1,0_33,isolated: single-bin detection
47,ITO,0_34,0,34,101,929,12.0,7.4,1,0_34,isolated: single-bin detection
48,ITO,0_35,0,35,105,939,16.0,10.8,1,0_35,isolated: single-bin detection
49,(002),0_35,0,35,463,3,9.0,6.1,1,0_35,isolated: single-bin detection
50,(002),0_35,0,35,260,388,8.0,5.4,1,0_35,isolated: single-bin detection
51,(011),0_35,0,35,700,304,7.0,4.7,1,0_35,isolated: single-bin detection
52,(111),0_35,0,35,468,395,6.1,4.7,1,0_35,isolated: single-bin detection
53,(001),0_36,0,36,842,963,8.0,5.4,1,0_36,isolated: single-bin detection
54,(002),0_36,0,36,195,885,7.0,4.0,1,0_36,isolated: single-bin detection
55,(111),0_37,0,37,467,326,7.0,5.4,1,0_37,isolated: single-bin detection
56,ITO,0_38,0,38,102,639,21.0,13.5,1,0_38,isolated: single-bin detection
57,(111),0_38,0,38,359,871,5.0,4.0,1,0_38,isolated: single-bin detection
58,(002),0_38,0,38,233,660,6.0,4.0,1,0_38,isolated: single-bin detection
59,(001),0_39,0,39,809,722,16.0,10.8,1,0_39,isolated: single-bin detection
60,ITO,0_39,0,39,99,608,13.0,6.7,1,0_39,isolated: single-bin detection
61,ITO,0_39,0,39,95,631,11.0,6.1,1,0_39,isolated: single-bin detection
62,(111),0_39,0,39,549,243,7.1,5.4,1,0_39,isolated: single-bin detection
63,(111),0_39,0,39,448,328,7.1,5.4,1,0_39,isolated: single-bin detection
64,(111),0_39,0,39,407,459,7.1,5.4,1,0_39,isolated: single-bin detection
65,(111),0_39,0,39,386,786,6.1,4.7,1,0_39,isolated: single-bin detection
66,ITO,0_39,0,39,98,662,9.0,4.7,1,0_39,isolated: single-bin detection
67,(111),0_39,0,39,550,196,7.1,4.0,1,0_39,isolated: single-bin detection
68,ITO,0_40,0,40,337,101,7.0,4.7,1,0_40,isolated: single-bin detection
69,(002),0_42,0,42,464,6,11.0,6.7,2,0_41 0_42,flat profile: CV=0.048 (no clear center)
70,(002),0_43,0,43,248,552,7.0,4.7,1,0_43,isolated: single-bin detection
71,ITO,0_43,0,43,213,283,7.0,4.7,1,0_43,isolated: single-bin detection
72,(011),0_44,0,44,564,815,7.0,4.7,1,0_44,isolated: single-bin detection
73,(111),0_44,0,44,375,732,6.0,4.7,1,0_44,isolated: single-bin detection
74,(002),0_45,0,45,301,274,7.0,4.7,1,0_45,isolated: single-bin detection
75,(002),0_46,0,46,313,336,7.0,4.7,1,0_46,isolated: single-bin detection
76,(002),0_46,0,46,237,625,7.0,4.7,1,0_46,isolated: single-bin detection
77,(002),0_48,0,48,210,780,6.0,4.0,1,0_48,isolated: single-bin detection
78,(002),0_52,0,52,464,6,13.0,17.3,1,0_52,isolated: single-bin detection
79,PbI2,0_52,0,52,889,945,3.0,5.3,1,0_52,isolated: single-bin detection
80,ITO,0_52,0,52,385,20,3.0,4.2,1,0_52,isolated: single-bin detection
81,ITO,0_52,0,52,198,367,3.0,4.2,1,0_52,isolated: single-bin detection
82,ITO,0_52,0,52,104,649,3.0,4.2,1,0_52,isolated: single-bin detection
83,(001),1_1,1,1,851,559,7.0,4.7,1,1_1,isolated: single-bin detection
84,ITO,1_12,1,12,104,1001,18.7,5.8,1,1_12,isolated: single-bin detection
85,(112),1_14,1,14,107,28,9.0,6.1,1,1_14,isolated: single-bin detection
86,(112),1_17,1,17,35,250,6.9,4.7,1,1_17,isolated: single-bin detection
