feature_id,reflection,bin_key,center_row,center_col,detector_x,detector_y,peak_intensity,mean_snr,n_bins,spatial_extent,reason
1,(112),0_0,0,0,109,49,49.0,24.5,4,0_0 0_1 0_2 0_3,"Gaussian-like: 100% monotonic, 4 bins"
2,(012),0_0,0,0,191,193,43.0,12.3,3,0_0 0_1 0_2,"Gaussian-like: 67% monotonic, 3 bins"
3,(001),0_0,0,0,842,971,19.0,9.4,3,0_0 0_1 0_2,"Gaussian-like: 100% monotonic, 3 bins"
4,(111),0_1,0,1,374,751,123.7,33.3,4,0_0 0_1 0_2 0_3,"Gaussian-like: 100% monotonic, 4 bins"
5,(002),0_9,0,9,483,22,13.0,7.0,6,0_10 0_11 0_6 0_7 0_8 0_9,"Gaussian-like: 54% monotonic, 6 bins"
6,(002),0_15,0,15,442,43,14.0,7.2,3,0_14 0_15 0_16,"Gaussian-like: 100% monotonic, 3 bins"
7,(002),0_23,0,23,209,707,17.0,8.8,3,0_22 0_23 1_22,"Gaussian-like: 67% monotonic, 3 bins"
8,ITO,0_30,0,30,102,640,12.0,6.4,4,0_29 0_30 0_31 0_32,"Gaussian-like: 60% monotonic, 4 bins"
9,ITO,0_36,0,36,102,642,16.0,7.8,4,0_34 0_35 0_36 0_37,"Gaussian-like: 60% monotonic, 4 bins"
10,(002),0_39,0,39,463,4,15.0,7.8,2,0_38 0_39,"Gaussian-like: 100% monotonic, 2 bins"
11,ITO,0_39,0,39,101,646,34.0,17.9,2,0_39 0_40,"Gaussian-like: 100% monotonic, 2 bins"
12,(001),0_42,0,42,841,964,18.0,7.5,12,0_41 0_42 0_43 1_38 1_40 1_43 2_39 3_38 3_39 3_40 3_42 4_41,"Gaussian-like: 65% monotonic, 12 bins"
13,(002),0_44,0,44,463,7,12.0,7.1,2,0_44 0_45,"Gaussian-like: 100% monotonic, 2 bins"
14,(002),0_51,0,51,462,11,35.8,12.3,4,0_48 0_49 0_50 0_51,"Gaussian-like: 67% monotonic, 4 bins"
15,ITO,1_9,1,9,104,1002,24.6,8.0,2,0_9 1_9,"Gaussian-like: 100% monotonic, 2 bins"
16,(012),1_24,1,24,70,550,125.0,23.8,12,0_21 0_22 0_23 0_24 0_25 0_26 1_21 1_22 1_23 1_24 1_25 1_26,"Gaussian-like: 78% monotonic, 12 bins"
17,ITO,1_24,1,24,98,743,13.5,4.4,2,0_24 1_24,"Gaussian-like: 100% monotonic, 2 bins"
18,ITO,1_29,1,29,97,747,53.7,10.7,7,0_27 0_28 0_29 1_26 1_27 1_28 1_29,"Gaussian-like: 65% monotonic, 7 bins"
19,(001),1_38,1,38,962,402,20.0,12.5,2,1_38 1_39,"Gaussian-like: 100% monotonic, 2 bins"
20,(111),1_57,1,57,371,748,264.0,36.2,89,0_36 0_37 0_38 0_39 0_40 0_41 0_42 0_43 0_44 0_45 0_46 0_47 0_48 0_49 0_50 0_51 0_52 1_37 1_38 1_39 1_40 1_41 1_42 1_43 1_44 1_45 1_46 1_47 1_48 1_49 1_50 1_51 1_52 1_53 1_54 1_55 1_56 1_57 1_58 1_59 1_60 1_61 1_62 1_63 1_64 1_65 2_36 2_37 2_38 2_39 2_40 2_41 2_42 2_43 2_44 2_45 2_46 2_47 2_48 2_49 2_50 2_51 2_52 2_53 2_54 2_55 2_56 2_57 2_58 2_59 2_60 2_61 2_62 3_50 3_51 3_52 3_53 3_54 3_55 3_56 3_57 3_58 3_59 3_60 3_61 3_62 3_63 4_57 5_57,"Gaussian-like: 52% monotonic, 89 bins"
21,(001),1_57,1,57,841,969,30.0,10.3,22,0_45 0_46 0_47 0_49 0_51 0_52 1_45 1_46 1_47 1_48 1_49 1_50 1_51 1_52 1_53 1_54 1_55 1_56 1_57 1_58 1_59 1_60,"Gaussian-like: 56% monotonic, 22 bins"
